Original Perfume and their clones,Original Brand,Original Brand and Name,Clone Brand,Owned ?,Community Comments,Personal Comments
24 Gold Oud Edition,24,Lattafa Ameer Al Oud,Lattafa,,,
,24,Fragrance World wenty Four Gold Oud Edition,Fragrance World,,,
,24,Lattafa Raghba,Lattafa,,,
Abercrombie And Fitch Fierce,Abercrombie And Fitch,Mont Blanc Legend EDT/ EDP,Mont Blanc,Owned,Recommended ,EDP for more mature scent and performance
,Abercrombie And Fitch,Ajmal Blu, Ajmal,,"Inspired, with additional watermelon note",
,Abercrombie And Fitch,Geparlys Parfums Pure Icon,Geparlys Parfums,,,
,Abercrombie And Fitch,Halloween Man Rock On,Halloween,,Inspired,
Abercrombie And Fitch First Instinct,Abercrombie And Fitch,Lattafa Ejaazi Silver,Lattafa,,6ixScents: Lattafa version of First Instinct,
Acqua Di Parma Colonia Oud,Acqua Di Parma,French Avenue Enigma Trois,French Avenue,,,
,Acqua Di Parma,Paris Corner Emir Resurrection,Paris Corner,,,
Ahmed Al Maghribi Bidun Esam,Ahmed Al Maghribi,French Avenue The Promise,French Avenue,,,
Ajmal Hatkora Wood,Ajmal,Fragrance World Hardcore Wood,Fragrance World,,,
Alexandre.J Morning Muscs,Alexandre.J,Maison Alhambra Modern Musk,Maison Alhambra,,,
Amouage Beach Hut Man,Amouage,Paris Corner Killer Oud Cabana,Paris Corner,,,
Amouage Blossom Love,Amouage,Al Haramain Junoon Rose,Al Haramain,,,
Amouage Bracken Man,Amouage,Fragrance World Abraaj Brackish,Fragrance World,,,
Amouage Crimson Rocks,Amouage,Fragrance World Abraaj Carmine,Fragrance World,,,
Amouage Enclave,Amouage,Fragrance World Abraaj Enclosure,Fragrance World,,,
Amouage Epic Man,Amouage,Paris Corner Killer Oud Ethic,Paris Corner,,,
,Amouage,Armaf Derby Clubhouse Ascot,Armaf,,,
,Amouage,Lattafa Al Areeq,Lattafa,,,
Amouage Gold Man,Amouage,Maison Alhambra Brulant Oud,Maison Alhambra,,,
Amouage Honour Man,Amouage,Fragrance World Abraaj Revere,Fragrance World,,,
Amouage Interlude Black Iris,Amouage,Fragrance World Abraaj Valour Night Iris,Fragrance World,,,
Amouage Interlude Man,Amouage,Afnan Supremacy Incense,Afnan,,Recommended,
,Amouage,Paris Corner Killer Oud,Paris Corner,,,
,Amouage,Ard Al Zaafaran Midnight Oud,Ard Al Zaafaran,,Recommended,
,Amouage,Maison Alhambra Ethnic Oud,Maison Alhambra,,,
,Amouage,Swiss Arabian Shaghaf Oud Abyad,Swiss Arabian,,,
Amouage Jubilation XXV Man,Amouage,Paris Corner Killer Oud Jubilant,Paris Corner,,Recommended,
,Amouage,Fragrance World Abraaj Oud,Paris Corner,,,
Amouage Lyric Man,Amouage,Paris Corner Killer Oud Lyre Intense,Paris Corner,,,
,Amouage,Fragrance World Abraaj Oud,Fragrance World,,,
Amouage Memoir Man,Amouage,Maison Alhambra Optus VII,Maison Alhambra,,,
Amouage Opus V – Woods Symphony,Amouage,Maison Alhambra Optus V,Maison Alhambra,,,
Amouage Opus VII – Reckless Leather,Amouage,Maison Alhambra Optus VII,Maison Alhambra,,,
Amouage Opus XII – Rose Incense,Amouage,Fragrance World Posh Alpha,Fragrance World,,,
Amouage Overture Man,Amouage,Paris Corner Killer Oud Overdose,Paris Corner,,,
Amouage Reflection Man,Amouage,Khadlaj Perfumes Shiyaaka,Khadlaj Perfumes,Owned,Best clone,Le Male Refined
,Amouage,Paris Killer Killer Oud Revolution,Paris Corner,,Recommended,
Amouage Sunshine Man,Amouage,Paris Killer Killer Oud Sunrise,Paris Corner,,,
Antonio Banderas Blue Seduction,Antonio Banderas,Fragrance World Bleu Seduction,Fragrance World,,,
Armand Basi In Red,Armand Basi,Maison Alhambra Aromatic Rouge,Maison Alhambra,,,
Azzaro Most Wanted,Azzaro,Lattafa Ansaam SIlver,Lattafa,,"Opening like Wanted By Night, drydown 80-90% Most Wanted",
Bath & Body Works Mahagony Wood,Bath & Body Works,Fragrance World Hard Wood,Fragrance World,,,
BDK Gris Charnel,BDK,French Avenue Francique Bronze 63.55,French Avenue,,,
,BDK,Lattafa Liam,Lattafa,,,
BDK Rouge Smoking,BDK,French Avenue Francique Silver 107.9,French Avenue,,,
Bentley For Men Black Edition,Bentley,Maison Alhambra Man Black Edition,Maison Alhambra,,,
Billie Eilish Eilish EDP,Billie Eilish,Lattafa Nebras,Lattafa,,,
Bond No. 9  Bleecker Street,Bond No. 9,Szindore Street Harbour,Szindore,,,
,Bond No. 9,Samy Andraus Green Sapphie,Samy Andraus,,,
Bottega Venetta Pour Homme,Bottega Venetata,Afnan Supremacy Noir,Afnan,,,
Bvlgari AQVA Pour Homme,Bvlgari,Maison Alhambra Aquilo Pour Homme,Maison Alhambra,,,
Bvlgari Le Gemme Men Tygar,Bvlgari,Afnan Turathi Blue,Afnan,Owned,,"Grape Fruit and Musk, love it"
,Bvlgari,Lattafa Al Qiam Silver,Lattafa,,,
,Bvlgari,Alexandria Fragrances Black Panther,Alexandria Fragrances,,,
,Bvlgari,Armaf Odyssey Tyrant Sspecial Edition,Armaf,,"Twist, BDC+ Tygar + Sauvage",
,Bvlgari,Theoreme Homme Rue Broca,Theoreme Homme,,Best Clone,
Bvlgari Man In Black,Bvlgari,Smart Collection 410,Smart Collection,,95% close- Joy Amin,
,Bvlgari,Zara Night Pour Homme 1,Zara,,,
Bvlgari Man Wood Essence,Bvlgari,Maison Alhambra Extra Woods,Maison Alhambra,,,
Byredo Bibliotheque,Byredo,Maison Alhambra Berlinetta,Maison Alhambra,,,
Byredo Black Saffron,Byredo,Maison Alhambra By Saffron,Maison Alhambra,,,
Byredo Sundazed,Byredo,Lattafa Awaan,Lattafa,,Amped up version,
Byredo Tobacco Mandarin,Byredo,Paris Corner Emir Spicy Tobacco,Paris Corner,,,
Calvin Klein Euphoria,Calvin Klein,Maison Alhambra Euzonea,Maison Alhambra,,,
Carolina Herrera 212,Carolina Herrera,Maison Alhambra No. 2 Men,Maison Alhambra,,,
Carolina Herrera Bad Boy,Carolina Herrera,Maison Alhambra B.A.D Homme,Maison Alhambra,,,
Carolina Herrera Burning Rose,Carolina Herrera,Maison Alhambra Exclusif Rose,Maison Alhambra,,,
Carolina Herrera Good Girl,Carolina Herrera,Zara Deep Garden,Zara,,,
,Carolina Herrera,Maison Alhambra B.A.D Femme,Maison Alhambra,,,
Carolina Herrera Mysterious Tobacco,Carolina Herrera,Paris Corner Charuto Mysterious Tobacco,Paris Corner,,,
,Carolina Herrera,Maison Alhambra Exclusif Tabac,Maison Alhambra,,Gent Scents Recommended,
,Carolina Herrera,Afnan Tobacco Rush,Afnan,,Gent Scents Recommended,
Carolina Herrera Oud Couture,Carolina Herrera,Maison Alhambra Exclusif Oud,Maison Alhambra,,,
Carolina Herrera Saffron Lazuli,Carolina Herrera,Maison Alhambra Exclusif Saffron,Maison Alhambra,,,
Carolina Herrera True Oud,Carolina Herrera,Maison Alhambra Exclusif Oud,Maison Alhambra,,,
Carolina Herrera Very Good Girl,Carolina Herrera,Zara Rose Petal Drops,Zara,,,
Chanel Allure Homme Sport,Chanel,Paris Corner Pendora Scents Bachelor Homme Sport,Paris Corner,,,
,Chanel,Maison Alhambra Alpine Homme Sport,Maison Alhambra,,,
,Chanel,Ard Al Zaafaran Al Dirgham Limited Edition,Ard Al Zaafaran,,Best clone,
Chanel Allure Homme Sport Eau Extreme,Chanel,USA Inspired Fragrances- Allure Men Intense,USA Inspired Fragrances,,Recommended,
Chanel Bleu De Chanel,Chanel,Armaf Shades Blue,Armaf,,"Recommended, EDT clone, rated best by some Youtuber",
,Chanel,Maison Alhambra Blue de Chance,Maison Alhambra,,Recommended,"Pretty close, from the decant I try, close to EDT"
,Chanel,Missioni Parfum Pour Homme,Missioni,,,
,Chanel,Geparlys Parfums Yes I am The King Le Parfum,Geparlys Parfums,,"voted by MFC/Parfumo best BDC Parfum Clone, Aromatix: Best EDT Clone",
,Chanel,Afnan 9am Dive,Afnan,,"Recommended, highly rated by TLTG Reviews (Youtuber)",
,Chanel,Afnan Turathi Blue,Afnan,Owned,"Recommended by Best Brand Perfumes (Youtuber)
Bvlgari Tygar clone but have a bit BDC vibes",
,Chanel,Armaf Club de Nuit Blue Iconic,Armaf,Owned,Inspired,
,Chanel,Al Haramain Amber Oud Bleu Edition,Al Haramain,,,
,Chanel,Afnan Historic Olmeda,Afnan,,"Inspired(BDC, Aventus, Sauvage mix), highly rated",
,Chanel,Salvatore Ferragamo Acqua Essenziale,Salvatore Ferragamo,,Pretty nice,
,Chanel,Armaf Voyage Blue,Armaf,,"voted by MFC best Armaf BDC Clone, outdated, now Iconic",
,Chanel,Szindore Bleu,Szindore,,,
,Chanel,Frank Olivier Night Touch,Frank Olivier,,EDTxEDP,
,Chanel,Paris Corner Pendora Scents The Blue,Paris Corner,,,
,Chanel,Zara Navy Black,Zara,,,
,Chanel,DaBalmDotCom Bleu De Balm,DaBalmDotCom,,Balm,
,Chanel,Armaf Tag Him,Armaf,,"EDT Clone,not a good clone",
,Chanel,"Incredible scent, price and pressurized sprayer, BUT 2 hrs of longetivity, weak. Malaysia brand.",Talking Scents,Owned,,"Incredible scent, price and pressurized sprayer, 2 hrs of longetivity"
Chanel Chance,Chanel,Lattafa La Muse Chance,Lattafa,,,
,Chanel,Maison Alhambra Chants Tenderina,Maison Alhambra,,,
Chanel Chance Eau Tendre,Chanel,Zara Applejuice,Zara,,,
Chanel Coco Mademoiselle,Chanel,Armaf Club De Nuit Women,Armaf,,,
,Chanel,Maison Alhambra Como Moiselle,Maison Alhambra,,,
Chanel Platinum Egoiste,Chanel,Armaf Legasi,Armaf,,,
,Chanel,Frank Olivier Eau De Passion,Frank Olivier,,,
,Chanel,Luxodor Bye Bye BlackBird,Luxodor,,,
Coach Dreams Sunset,Coach,Maison Alhambra Sunset Rose,Maison Alhambra,,,
Creed Aventus,Creed,Armaf Club De Nuit Intense Men EDT/EDP/Limited Edition,Armaf,,Recommended,
,Creed,Al Haramain L'aventure (Original/Intense),Al Haramain,,Recommended,
,Creed,Mont Blanc Explorer,Mont Blanc,,,
,Creed,Lattafa Al Dur Al Maknoon,Lattafa,Owned,Cheap,"Citrus opening, very smoky, after first 10 mins, full smokiness, last maybe 5 hrrs"
,Creed,Lattafa Shaheen Silver,Lattafa,,"Fruit Batch, very good",
,Creed,Zara Vibrant Leather,Zara,,quite good and affordable,
,Creed,Rasasi Zebra,Rasasi,,,
,Creed,Afnan Supremacy Silver,Armaf,,Recmmended (Opening),
,Creed,Maison Alhambra Avant,Maison Alhambra,,,
,Creed,Khadlaj Perfumes Infini,Khadlaj Perfumes,,,
Creed Aventus Absolu,Creed,Maison Amade Kali Kedua,Maison Amade,,,
,Creed,The Dua Brand Posieidon's Absolu Elixir,The Dua Brand,,"pretty good, more green",
,Creed,Scentual Obsessions Absolute King,Scentual Obsessions,,"A hint more spice, very similiar",
Creed Erolfa,Creed,Amber Oud Exclusif Emerald,Amber Oud Exclusif,,,
Creed Green Irish Tweed,Creed,Armaf Tres Nuit,Armaf,,Recommended,
,Creed,Davidoff Cool Water,Davidoff,Owned,,"Dont overspray, 
dislike detergent opening, the drydown is interesting, it does start to grow on me a bit"
,Creed,Al Haramain L'aventure Knight,Al Haramain,,,
,Creed,Armaf Le Parfait,Armaf,,Aventus X Green Irish Tweed,
,Creed,Lattafa Raghba for Men,Lattafa,,One of the best dupe for GIT at its price point,
,Creed,Estiara Stag Black,Estiara,,,
,Creed,Al Haramain Amber Oud Carbon,Al Haramain,,,
,Creed,Rasasi Egra,Rasasi,,,
Creed Millisime Imperial,Creed,Armaf Club De Nuit Milestone,Armaf,Owned,Recommended,"Strong salty scent, pleasant, projection and sillage pretty strong, last pretty long"
,Creed,Sean John Unforgivable,Sean John,,,
Creed Royal Oud,Creed,Afnan Highness Green,Afnan,,,
Creed Silver Mountain Water,Creed,Armaf Club De Nuit Sillage,Armaf,,Recommended,
,Creed,Armaf Derby Clubhouse Blanche,Armaf,,,
,Creed,Al Haramain L'aventure Blanche,Al Haramain,,,
,Creed,Afnan Supremacy In Heaven,Afnan,,,
,Creed,Lattafa Maharjan Silver,Lattafa,,,
,Creed,Rasasi Al Wisam Day,Rasasi,,,
Creed Virgin Island Water,Creed,Oakcha Secret Lagoon,Oakcha,,,
Dior Fahrenheit,Dior,Armaf Bois Luxura,Armaf,,,
,Dior,Maison Alhambra Fortnight,Maison Alhambra,,,
Dior Feve Delicieuse,Dior,Paris Corner Frenetic Delicieuse,Paris Corner,,,
Dior Gris Dior,Dior,Maison Alhambra Grise,Maison Alhambra,,,
Dior Homme,Dior,Zara Pour Homme 3 ,Zara,,,
Dior Homme Intense,Dior,Ard Alkhaleej Sheikh Zayed Limited Edition,Ard Alkhaleej,,,
,Dior,Paris Corner Pendora Scents Club Intense,Paris Corner,,"75% simlarity, cheap",
,Dior,Paris Corner Frenetic Homme Intense,Paris Corner,,Best clone (Joy Amin 2022),
,Dior,Al Wataniah Kayaan Classic,Al Wataniah,,,
,Dior,Geparlys Parfums Idole La Nuit,Geparlys Parfums,,Best clone (Aromatix 2023),
Dior Homme Original,Dior,Armaf Futura La Homme,Armaf,,,
Dior J'adore,Dior,Maison Alhambra Jardin De Paris,Maison Alhambra,,,
,Dior,Zara Rose,Zara,,,
Dior Leather Oud,Dior,Maison Alhambra L'Oudh,Maison Alhambra,,,
Dior Miss Dior,Dior,Essence Fall Back To Nature,Essence,,,
Dior Miss Dior Blooming Bouquet,Dior,Zara Nude Bouquet,Zara,,,
Dior Oud Ispahan,Dior,Frank Olivier Oud Touch,Frank Olivier,,,
,Dior,Maison Alhambra L'Oudh,Maison Alhambra,,,
Dior Oud Rosewood,Dior,Maison Alhambra Rose Oud,Maison Alhambra,,,
Dior Poison Girl,Dior,Lattafa Yara,Lattafa,,,
,Dior,Maison Alhambra Fusion Girl,Maison Alhambra,,,
Dior Purple Oud,Dior,Maison Alhambra Purple Wood,Maison Alhambra,,,
Dior Sauvage,Dior,Walid Fragrance - Neon,Walid Fragrance,,Recommended,
,Dior,Armaf Ventana,Armaf,,"Recommended, EDT clone",
,Dior,Armaf Pride of Armaf,Armaf,,Might be smoother than Ventana,
,Dior,Armaf Club De Nuit Urban Man Elixir,Armaf,,Dior Sauvage + slight Creed Aventus,
,Dior,Armaf Magnificent,Armaf,,,
,Dior,Szindore Conquer,Szindore,Owned,,"Opening a bit weak but dry down is freaking strong and powdery, last forever, I dont quite like the Sauvage DNA though"
,Dior,Ard Al Zaafaran I am the King,Ard Al Zaafaran,,,
,Dior,Geparlys Parfums Yes I am The King,Geparlys Parfums,,,
,Dior,Maison Alhambra Salvo,Maison Alhambra,,EDT Clone,
,Dior,Maison Alhambra Salvo Intense,Maison Alhambra,,EDP Clone,
,Dior,Cyrus Writer For Men,Cyrus,,,
Dior Sauvage Elixir,Dior,Lattafa Asad,Lattafa,,Recommended (5 hrs),
,Dior,Alexandria Fragrances Ete Sauvage Elixir,Alexandria Fragrances,,Recommended,
,Dior,Paris Corner Pendora Scents Saviour Elixir,Paris Corner,,"Recommended, first 30 min diff, then similiar, 10-12 hrs",
,Dior,Maison Alhambra Salvo Elixir,Maison Alhambra,,"accurate, but weak performance",
,Dior,Fragrance World Enigma Une,Fragrance World,,One of the best,
,Dior,Szindore Elixir,Szindore,,,
Dior Tobacolor,Dior,Maison Alhambra Tabac,Maison Alhambra,,,
DKNY Be Delicious,DKNY,Zara Twilight Mauve,Zara,,,
Dolce & Gabbana Anthology L'Imperatrice 3,Dolce & Gabbana,Maison Alhambra III L'Impressio Pour Femme,Maison Alhambra,,,
,Dolce & Gabbana,Lattafa Tamima,Lattafa,,,
Dolce & Gabbana Dolce Peony,Dolce & Gabbana,Zara Peony,Zara,,,
Dolce & Gabbana K,Dolce & Gabbana,Lattafa Ra'ed Luxe,Lattafa,,,
,Dolce & Gabbana,Maison Alhambra Kingsman,Maison Alhambra,,,
Dolce & Gabbana Light Blue,Dolce & Gabbana,Lattafa 24K White Gold,Lattafa,,,
Dolce & Gabbana Light Blue Eau Intense,Dolce & Gabbana,Santalys Invocation,Santalys,,,
Dolce & Gabbana The One EDT/EDP,Dolce & Gabbana,Victorinox Swiss Army Black Steel EDT,Victorinox,,Recommended (inspired),
,Dolce & Gabbana,Paris Corner Pendora Scents Dream Catcher,Paris Corner,,,
,Dolce & Gabbana,Lattafa Qasaed Al Sultan,Lattafa,,,
,Dolce & Gabbana,Szindore The Last One,Szindore,Owned,,"A tad bit more sweet and light/fruity, more like EDT clone, Malaysia brand"
Dolce & Gabbana The One Exclusive Edition,Dolce & Gabbana,Maison Alhambra Nuit Royale Exclusive Edition,Maison Alhambra,,,
Dolce & Gabbana The One Gold,Dolce & Gabbana,Zara Black Amber,Zara,,,
Dolce & Gabbana The One Luminous Night,Dolce & Gabbana,Zimaya Brave Heart,Zimaya,,,
Dunhill Desire Red,Dunhill,Frank Olivier Sun Java Intense,Frank Olivier,,Recommended,
Elie Saab Le Parfum Royal,Elie Saab,Maison Alhambra Eminent Royal,Maison Alhambra,,,
,Elie Saab,Lattafa Mazaaji,Lattafa,,,
Emporio Arman Because It's You,Emporio Armani,Maison Alhambra Your Touch For Women,Maison Alhambra,,,
Emporio Armani Stronger With You,Emporio Armani,Paris Corner Pendora Scents You Are Mine,Paris Corner,,,
,Emporio Armani,Maison Alhambra Your Touch,Maison Alhambra,,,
,Emporio Armani,Zara Amber Ego,Zara,,,
,Emporio Armani,Cyrus Chancellor Ultimate,Cyrus,,,
,Emporio Armani,Armaf Odyssey Homme White,Armaf,,Recommended,
Emporio Armani Stronger With You Absoulutely,Emporio Armani,Fragrance World Proud Of You Absolute,Fragrance World,,,
,Emporio Armani,Afnan Ornament Pour Homme,Afnan,,,
Emporio Armani Stronger With You Intensely,Emporio Armani,Geparlys Parfums Yes I am The King Icon,Geparlys Parfums,,Recommended,
Emporio Armani Stronger With You Leather,Emporio Armani,Ard Al Zaafaran Oud 24 hrs Gold,Ard Al Zaafaran,,Recommended,
Emporio Armani Stronger With You Oud,Emporio Armani,Althoor Al Alam Ishqat Al Lail Forever,Althoor Al Alam,,Fragrance World Subsidiary,
Escentric Molecules Molecule 02,Escentric Molecules,Maison Alhambra Monocline 02,Maison Alhambra,,,
Fleur Narcotique Ex Nihilo,Fleur Narcotique,Maison Alhambra Narcotic Flowaer,Maison Alhambra,,,
Frederic Malle Portrait of A Lady,Frederic Malle,Paris Corner Identity Unique Portrait,Paris Corner,,,
,Frederic Malle,Maison Alhambra The Artist No. 2,Maison Alhambra,,,
,Frederic Malle,Fragrance World French Portrait,Fragrance World,,"Recommended (not for everyone, only if you like Rose heavy)",
Giorgio Armani Acqua Di Gio EDT,Giorgio Armani,Perry Ellis 360 Red,Perry Ellis,,Recommended,
,Giorgio Armani,Frank Olivier Blue Touch,Frank Olivier,,,
,Giorgio Armani,Armaf Blur Homme,Armaf,,,
,Giorgio Armani,Ajmal Shiro,Ajmal,,,
Giorgio Armani Acqua Di Gio Essenza,Giorgio Armani,Bentley For Men Silverlake,Bentley,,,
Giorgio Armani Acqua Di Gio Profondo,Giorgio Armani,Armaf Tres Nuit Lyric,Armaf,,,
,Giorgio Armani,Maison Alhambra Jorge Di Profundo,Maison Alhambra,,,
,Giorgio Armani,Lattafa Liam Blue,Lattafa,,,
,Giorgio Armani,Azzaro Chrome Extreme,Azzaro,,,
Giorgio Armani Acqua Di Gio Profumo,Giorgio Armani,Ard Al Zaafaran Jazzab Silver,Ard Al Zaafaran,,Recommended,
,Giorgio Armani,Maison Alhambra Jorge Di Profumo,Maison Alhambra,Owned,Recommended,"Very nice, 4-5 hours longetivity though"
,Giorgio Armani,Lattafa Suqraat,Lattafa,,Recommended,
,Giorgio Armani,Szindore Mare Nostrum,Szindore,,,
Giorgio Armani Armani Prive Bleu Turqoise,Giorgio Armani,Emper Privé Turquoise,Emper,,,
Giorgio Armani Armani Prive Magenta Tanzanite,Giorgio Armani,Emper Privé Magenta,Emper,,,
Giorgio Armani Armani Prive Musc Shamal,Giorgio Armani,French Avenue Musc D'Prive,French Avenue,,,
Giorgio Armani Armani Prive Oud Royal,Giorgio Armani,Lattafa Opulent Oud,Lattafa,,,
Giorgio Armani Armani Prive Rose d'Arabie,Giorgio Armani,Emper Privé Arabian Rose,Emper,,,
Giorgio Armani Armani Prive Rose Milano,Giorgio Armani,Fragrance World Serene Rose,Fragrance World,,,
Giorgio Armani Armani Prive Rouge Malachite,Giorgio Armani,Maison Alhambra Niche Royal Rouge,Maison Alhambra,,,
,Giorgio Armani,Emper Privé Rouge,Emper,,,
Giorgio Armani Armani Prive Vert Malachite,Giorgio Armani,Maison Alhambra Niche Royal Vert,Maison Alhambra,,,
Giorgio Armani Code Profumo,Giorgio Armani,Ard Al Zaafaran Ahlaamak,Ard Al Zaafaran,,,
,Giorgio Armani,Sapil Bound For Men,Sapil,,,
Giorgio Armani My Way,Giorgio Armani,Lattafa Mayar,Lattafa,,,
,Giorgio Armani,Zara Sublime Epoque,Zara,,,
Gissah Perfumes Sava,Gissah Perfumes,Lattafa Khamrah,Lattafa,,"Khamrah is sava clone, not angel share",
Givenchy Gentleman Reserve Privée,Givenchy,Althoor Al Alam Al Fakhir,Althoor Al Alam,,Fragrance World subsidary,
Givenchy Gentlemen Only,Givenchy,Armaf Just For You,Lattafa,,"Close, but synthethic a bit with no Iris",
Givenchy L'Interdit,Givenchy,Maison Alhambra L'Intrude,Maison Alhambra,,,
Givenchy L'Interdit Rouge,Givenchy,Maison Alhambra L'Intense Rouge Addictiono,Maison Alhambra,,,
Gucci A Chant for the Nymph,Gucci,Maison Alhambra The Chant,Maison Alhambra,,,
Gucci A Midnight Stroll,Gucci,Maison Alhambra The Trail/ The Serpent,Maison Alhambra,,,
Gucci ASong For The Rose,Gucci,Maison Alhambra The Myth,Maison Alhambra,,,
Gucci Bloom,Gucci,Maison Alhambra Floral Bloom,Maison Alhambra,,,
Gucci Bloom Ambrosia Di Fiori,Gucci,Maison Alhambra Floral Ambrosia,Maison Alhambra,,,
Gucci Bloom Profumo Di Fiori,Gucci,Maison Alhambra Floral Profumo,Maison Alhambra,,,
Gucci Flora EDT,Gucci,Maison Alhambra Florence,Maison Alhambra,,,
,Gucci,Zara Cashmere Rose,Zara,,,
Gucci Flora Gorgeous Gardenia,Gucci,Al Haramain Amber Oud Ultra Violet,Al Haramain,,,
Gucci Guilty Pour Homme EDT,Gucci,Zara Silver,Zara,,,
Gucci Pour Homme (2003),Gucci,Bentley For Men Absolute,Bentley,,,
Gucci The Voice Of The Snake,Gucci,Maison Alhambra The Trail,Maison Alhambra,,,
Guerlain L'Homme Ideal,Guerlain,Armaf Radical,Armaf,,,
Guerlain L'Homme Ideal Extreme,Guerlain,Fragrance World Supreme L'Homme Extreme,Fragrance World,,,
Guerlain Oud Intense,Guerlain,Lattafa Qaa'ed Al Shabaab,Lattafa,,,
Guerlain Patchouli Ardent,Guerlain,Maison Alhambra Amberley Ombre Blue,Maison Alhambra,,,
Hermes Jour d'Hermes Absolu,Hermes,Lattafa Ekhtiari,Lattafa,,,
Hermes Terre d'Hermes,Hermes,Armaf Eternia Man,Armaf,,,
,Hermes,Maison Alhambra Toro Pour Homme,Maison Alhambra,,,
,Hermes,Rasasi Fattan,Rasasi,Owned,,"Strong pepper note, but pleasant dry down"
Hermes Twilly d'Hermes,Hermes,Maison Alhambra Tweet,Maison Alhambra,,,
Hugo Boss Bottled,Hugo Boss,Christiano Ronaldo Legacy,Chistiano Ronaldo,,Inspired (Boss Bottled x Boss Bottled Night),
Initio Atomic Rose,Initio,Lattafa Bade'e al Oud Amethyst,Lattafa,,Recommend,
,Initio,Maison Alhambra Infini Rose,Maison Alhambra,,,
Initio Oud for Greateness,Initio,Lattafa Badee Al Oud For Glory,Lattafa,,,
,Initio,Maison Alhambra Infini Oud,Maison Alhambra,,,
,Initio,Afnan Supremacy in Oud,Afnan,,Recommended,
Initio Oud for Happiness,Initio,Lattafa Al Noble Saheer,Lattafa,,,
Initio Paragon ,Initio,Lattafa Al Nashama,Lattafa,,,
Initio Side Effect,Initio,Fragrance World Intro Aftermath,Fragrance World,,,
Issey Miyake L'Eau d'Issey Pour Homme Noir Ambre,Issey Miyake,Asdaaf Majd Al Sultan,Asdaaf,,,
Jean Paul Gaultier Elixir,Jean Paul Gaultier,Rayhaan Elixir,Rayhaan,,,
,Jean Paul Gaultier,Grandeur Elit Tribal Gold,Grandeur Elite,,,
Jean Paul Gaultier La Belle,Jean Paul Gaultier,Maison Alhambra Glacier Bella,Maison Alhambra,,,
Jean Paul Gaultier Le Beau,Jean Paul Gaultier,Paris Corner Kaheela Platinium,Paris Corner,,,
Jean Paul Gaultier Le Male Le Parfum,Jean Paul Gaultier,Maison Alhambra Glacier Le Noir,Maison Alhambra,,,
Jean Paul Gaultier Scandal,Jean Paul Gaultier,Maison Alhambra Candid,Maison Alhambra,,,
,Jean Paul Gaultier,Armaf Odyssey Mandarin Sky,Armaf,,,
